Taxon,pk_freq,F_Hz,log10Hz,min_freq,body_mass,log10mass,ln_mass,family,fam,order,phyloname,phyloname2,Species,Dichr,SongRepSize,MinLat,climPC1,climPC2,newVeg
Chordeiles_minor,3.96,3960,3.597695186,0.97,79.3,1.899273187,4.373238129,Caprimulgidae,Nightjars,Caprimulgiformes,Chordeiles_minor,Chordeiles minor,minor,3,,7.205277392,-0.432481533,1.736482365,Non-forest
Nyctiphrynus_ocellatus,1.349,1349,3.13001195,1.06167,43,1.633468456,3.761200116,Caprimulgidae,Nightjars,Caprimulgiformes,Nyctiphrynus_ocellatus,Nyctiphrynus ocellatus,ocellatus,0,,-27.21435357,-0.112869633,-0.164773103,Forest
Granatellus_pelzelni,3.55967,3559.67,3.551409738,2.87067,11.5,1.06069784,2.442347035,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Granatellus_pelzelni,Granatellus pelzelni,pelzelni,6,,-15.49060059,0.892063174,-0.783123143,Forest
Passerina_amoena,5.19,5190,3.715167358,2.79,16,1.204119983,2.772588722,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Passerina_amoena,Passerina amoena,amoena,9,1,29.61264229,-0.112869633,-0.164773103,Non-forest
Passerina_caerulea,3.37,3370,3.527629901,2.19,27.8,1.444044796,3.325036021,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Passerina_caerulea,Passerina caerulea,caerulea,10,,9.551605166,0.005349833,-0.905350783,Non-forest
Passerina_ciris,4.23,4230,3.626340367,3.06,16.1,1.206825876,2.778819272,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Passerina_ciris,Passerina ciris,ciris,10,,25.2885052,-0.112869633,-0.164773103,Non-forest
Passerina_cyanea,5.61,5610,3.748962861,2.88,15,1.176091259,2.708050201,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Passerina_cyanea,Passerina cyanea,cyanea,9,1,24.52725411,-1.001327774,0.481787001,Non-forest
Passerina_versicolor,4.1,4100,3.612783857,2.7,13,1.113943352,2.564949357,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Passerina_versicolor,Passerina versicolor,versicolor,9,,14.46616561,-0.112869633,-0.164773103,Non-forest
Periporphyrus_erythromelas,2.416,2416,3.38309693,1.824,48,1.681241237,3.871201011,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Periporphyrus_erythromelas,Periporphyrus erythromelas,erythromelas,8,,-5.842407226,-0.112869633,-0.164773103,Forest
Pheucticus_aureoventris,3.318,3318,3.520876382,1.638,49,1.69019608,3.891820298,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Pheucticus_aureoventris,Pheucticus aureoventris,aureoventris,9,,-33.49780273,-0.616397643,1.517379853,Non-forest
